MopraMap	pa_63o0	pa_62o0	pa_53o4	pa_40o9	pa_15o0	pa_9o3	pa_7o6	pa_6o0	pa_3o0	pa_0o0
region1.12co.mom0.fits	25.8	24.8	16.2	3.7	337.8	332.1	330.4	328.8	325.8	322.8
byf10to27.R2to3.12co.mom0.fits	26.9	25.9	17.3	4.8	338.9	333.2	331.5	329.9	326.9	323.9
byf32to37.nv.12co.mom0.fits	28.6	27.6	19.0	6.5	340.6	334.9	333.2	331.6	328.6	325.6
byf40to42.mainPV.12co.mom0.fits	30.0	29.0	20.4	7.9	342.0	336.3	334.6	333.0	330.0	327.0
byf47.12co.mom0.fits	31.0	30.0	21.4	8.9	343.0	337.3	335.6	334.0	331.0	328.0
byf51to56.12co.mom0.fits	32.2	31.2	22.6	10.1	344.2	338.5	336.8	335.2	332.2	329.2
byf63to80.S.12co.mom0.fits	33.7	32.7	24.1	11.6	345.7	340.0	338.3	336.7	333.7	330.7
byf83to104.main.12co.mom0.fits	34.7	33.7	25.1	12.6	346.7	341.0	339.3	337.7	334.7	331.7
byf105to118.main.12co.mom0.fits	35.6	34.6	26.0	13.5	347.6	341.9	340.2	338.6	335.6	332.6
byf126to134.R12to15.12co.mom0.fits	41.3	40.3	31.7	19.2	353.3	347.6	345.9	344.3	341.3	338.3
byf141to150.R16to18.12co.mom0.fits	44.4	43.4	34.8	22.3	356.4	350.7	349.0	347.4	344.4	341.4
byf161to167.12co.mom0.fits	47.0	46.0	37.4	24.9	359.0	353.3	351.6	350.0	347.0	344.0
byf183to190.12co.mom0.fits	54.3	53.3	44.7	32.2	366.3	0.6	358.9	357.3	354.3	351.3
byf199to208.R26.12co.mom0.fits	55.8	54.8	46.2	33.7	367.8	2.1	0.4	358.8	355.8	352.8
byf01.12co.mom0.fits	24.4	23.4	14.8	2.3	336.4	330.7	329.0	327.4	324.4	321.4
byf11.12co.mom0.fits	25.2	24.2	15.6	3.1	337.2	331.5	329.8	328.2	325.2	322.2
byf38.12co.mom0.fits	27.9	26.9	18.3	5.8	339.9	334.2	332.5	330.9	327.9	324.9
byf57.E.12co.mom0.fits	33.1	32.1	23.5	11.0	345.1	339.4	337.7	336.1	333.1	330.1
byf123.12co.mom0.fits	39.7	38.7	30.1	17.6	351.7	346.0	344.3	342.7	339.7	336.7

