Region	eq_63o0	eq_62o0	eq_53o4	eq_40o9	eq_15o0	eq_9o3	eq_7o6	eq_6o0	eq_3o0	eq_0o0
R01	25.8	24.8	16.2	3.7	337.8	332.1	330.4	328.8	325.8	322.8
R02to03	26.9	25.9	17.3	4.8	338.9	333.2	331.5	329.9	326.9	323.9
R04	26.7	25.7	17.1	4.6	338.7	333.0	331.3	329.7	326.7	323.7
R05	28.6	27.6	19.0	6.5	340.6	334.9	333.2	331.6	328.6	325.6
R06	30.0	29.0	20.4	7.9	342.0	336.3	334.6	333.0	330.0	327.0
R07	31.0	30.0	21.4	8.9	343.0	337.3	335.6	334.0	331.0	328.0
R08	32.2	31.2	22.6	10.1	344.2	338.5	336.8	335.2	332.2	329.2
R09	33.7	32.7	24.1	11.6	345.7	340.0	338.3	336.7	333.7	330.7
R10	34.7	33.7	25.1	12.6	346.7	341.0	339.3	337.7	334.7	331.7
R11	35.6	34.6	26.0	13.5	347.6	341.9	340.2	338.6	335.6	332.6
R12to15	41.3	40.3	31.7	19.2	353.3	347.6	345.9	344.3	341.3	338.3
R16to18	44.4	43.4	34.8	22.3	356.4	350.7	349.0	347.4	344.4	341.4
R17	44.0	43.0	34.4	21.9	356.0	350.3	348.6	347.0	344.0	341.0
R19	45.5	44.5	35.9	23.4	357.5	351.8	350.1	348.5	345.5	342.5
R20	45.5	44.5	35.9	23.4	357.5	351.8	350.1	348.5	345.5	342.5
R21	47.0	46.0	37.4	24.9	359.0	353.3	351.6	350.0	347.0	344.0
R22	52.4	51.4	42.8	30.3	4.4	358.7	357.0	355.4	352.4	349.4
R23	54.3	53.3	44.7	32.2	366.3	0.6	358.9	357.3	354.3	351.3
R24	53.9	52.9	44.3	31.8	5.9	0.2	358.5	356.9	353.9	350.9
R25	53.7	52.7	44.1	31.6	5.7	0.0	358.3	356.7	353.7	350.7
R26	55.8	54.8	46.2	33.7	367.8	2.1	0.4	358.8	355.8	352.8
R27	55.8	54.8	46.2	33.7	367.8	2.1	0.4	358.8	355.8	352.8
byf01	24.4	23.4	14.8	2.3	336.4	330.7	329.0	327.4	324.4	321.4
byf11	25.2	24.2	15.6	3.1	337.2	331.5	329.8	328.2	325.2	322.2
byf38	27.9	26.9	18.3	5.8	339.9	334.2	332.5	330.9	327.9	324.9
byf57	33.1	32.1	23.5	11.0	345.1	339.4	337.7	336.1	333.1	330.1
byf123	39.7	38.7	30.1	17.6	351.7	346.0	344.3	342.7	339.7	336.7
